iter	Passed	Remaining
0	15	1494
1	38	1910
2	54	1765
3	68	1651
4	80	1525
5	101	1591
6	119	1592
7	133	1530
8	147	1487
9	159	1436
10	169	1368
11	182	1337
12	190	1275
13	205	1259
14	219	1245
15	233	1223
16	250	1225
17	263	1202
18	276	1178
19	288	1153
20	302	1136
21	316	1123
22	335	1121
23	349	1107
24	362	1088
25	376	1072
26	393	1063
27	406	1046
28	419	1026
29	431	1007
30	442	984
31	457	971
32	470	954
33	482	936
34	495	920
35	508	903
36	524	892
37	537	877
38	549	860
39	565	847
40	578	831
41	591	817
42	604	801
43	617	786
44	630	770
45	643	755
46	652	735
47	670	725
48	683	711
49	695	695
50	708	680
51	720	665
52	733	650
53	746	636
54	759	621
55	773	607
56	786	593
57	802	580
58	814	566
59	828	552
60	841	537
61	854	523
62	868	510
63	882	496
64	895	482
65	907	467
66	920	453
67	934	439
68	949	426
69	962	412
70	975	398
71	988	384
72	1004	371
73	1020	358
74	1034	344
75	1047	330
76	1060	316
77	1077	303
78	1091	290
79	1106	276
80	1118	262
81	1132	248
82	1144	234
83	1158	220
84	1170	206
85	1185	192
86	1197	179
87	1211	165
88	1226	151
89	1240	137
90	1253	123
91	1265	110
92	1279	96
93	1293	82
94	1306	68
95	1320	55
96	1332	41
97	1345	27
98	1360	13
99	1373	0
